brand,country,industry,website,products,description,mission,overall_score,environment_score,environment_products,environment_practices,environment_outputs,environment_inputs,certification
de la olla,Argentina,restaurants & food service,www.delaolla.com.ar,"e-commerce of on demand fresh food, customizable for different dietary needs","e-commerce de viandas a pedido elaboradas con productos locales en una cocina inclusiva, adaptables a necesidades dietarias","-generamos alimentos de calidad en una cocina inclusiva

-contribuimos al desarrollo sustentable  seleccionando materia prima fresca de productores locales, envases amigables con el medio ambiente y procesos que usan racionalmente la energía disponible",104.4,64.9,15.3,49.5,3.6,2.7,b-corp
de lolita restó café,Colombia,food products,delolita.com,unknown,unknown,unknown,81.2,20.6,unknown,19.7,6.7,6.7,b-corp
de micheli lanciani motta psicologi del lavoro associati,Italy,other personal services,www.dlm-partners.eu,consulting and business psychological services,we offer consulting and business psychological services that have always a positive impact on the community as well as an explicit  focus on sustainability,making people make the difference in profitable & sustainable business,90.0,5.0,unknown,4.5,2.5,0.0,b-corp
"decisely insurance services, llc",United States,health insurance,www.decisely.com,"benefits, hr, & payroll","decisely is reimagining the way brokers and small businesses work together. the decisely solution provides the best combination of benefits, hr resources, and technology to support small businesses in the united states.","decisely makes benefits insurance and human resource management simple, compliant, and cost effective for small businesses in the united states. we empower people to understand, make, and easily manage life’s most important decisions.",80.1,10.4,unknown,10.4,0.7,1.3,b-corp
deebee's specialtea foods ltd.,Canada,food products,www.deebeesorganics.com,"organic, non-gmo frozen treats! teapops, coconut creams & super fruit freeze!","deebee’s teapops were created by parents dionne and stephen as a nutritious, delicious treat for their sons. in the family kitchen on a spring afternoon, their son david was making herbal tea while his brother joshua was making frozen treats. the two boys","to inspire and educate through the creation of delicious, nutritious products that help grow strong bodies, happy families and a healthy planet.",99.1,37.0,unknown,22.0,1.5,6.8,b-corp
deetken asset management inc.,Canada,investment advising (isic 6619),deetken.com,unknown,"the deetken group, a business advisory firm based in vancouver, launched its asset management division in 2013. deetken asset management inc. (dami) focuses on the management and distribution of socially responsible and impact investment products.","to provide the highest quality professional asset management services to clients pursuing dual financial and social objectives by delivering superior risk adjusted returns and meaningful, measurable social impact.",86.2,2.6,unknown,2.6,0.0,0.7,b-corp
degraf spa,Chile,not in use,www.degraf.cl,recyling printing waste,"orienta su accionar al campo de los residuos electrónicos, contando con todas las autorizaciones requeridas por la normativa legal vigente y que garantiza a sus clientes una adecuada disposición de sus desechos.","ofrecer a las empresas un servicio de calidad, seguro, confiable y eficiente en el marco de un claro respeto a la legislación vigente y promoviendo todas aquellas acciones tendientes al cuidado de nuestro medio ambiente.",100.9,41.1,0.0,41.1,6.0,1.4,b-corp
"deltec homes, inc.",United States,construction,www.deltechomes.com,prefabricated homes and commercial buildings,"deltec homes is an award-winning prefabricated home builder based out of asheville, nc.

our high performance homes will outperform traditional homes in terms of sustainability, strength, quality and design.","we create innovative, high performance round homes and net-zero energy homes with passion, excellence, and respect for the natural world.",82.2,22.4,unknown,9.2,0.7,3.1,b-corp
dermophisiologique srl sb,Italy,personal care products,www.dermophisiologique.it/,skin care products,manufactures and sells high quality skin care products for all skin types and discomforts of the skin including toxicity problems due to therapies,excellence in quality,83.8,10.5,unknown,10.0,1.5,5.2,b-corp
des enjeux et des hommes,France,other education,www.desenjeuxetdeshommes.com,conseil en stratégie et accompagnement du changement sur la rse et le développem,cabinet conseil de 11 personnes basé à paris,accompagner les entreprises dans le déploiement de leurs stratégies de rse ou développement durable,93.7,12.0,unknown,12.0,1.0,2.5,b-corp
"desert farms, inc.",United States,beverages,desertfarms.com,camel milk,we sell camel milk products,our mission is to make camel milk accessible to every child with autism,81.7,14.0,unknown,5.2,0.0,2.6,b-corp
destination,France,agricultural processing,www.destination-bio.com,"roasting coffe and selling organic productions from coffee, tea, sugar and cocoa","destination is a human company which selects organic raw materials from eco-responsible and high quality ""terroirs"" and personalises its roasting and grinding methods.",destination represents a desire to pass on its knowledge a pleasure of excellence to the consumer at the right price.,80.1,28.4,unknown,12.6,3.1,4.0,b-corp
"dev equity, l.l.c.",United States,equity investing emerging mkt (isic 663),www.devequity.com,administration of impact investment management in low-income countries.,"by providing long-term capital and direct support, dev equity helps innovative companies in select latin american countries expand their growth, profitability and impact.",dev equity aims to help improve the lives of people living in low-income countries by investing in private companies that can make a positive social and environmental impact.,96.8,5.3,unknown,5.0,0.0,0.2,b-corp
dhana inc.,United States,apparel (isic 464),www.dhana.com,apparel,"dhana inc. is an earth conscious fashion brand for our youth - connecting us to people and planet via our clothes. organic, fair trade, sustainable fashion. 

tagline: we're wearin' the world","dhana's mission is to empower kids to connect with nature and the world, to understand their impact on people and planet, and for kids to realize they are our global ambassadors of tomorrow and towards a sustainable future.",151.9,26.6,unknown,4.6,1.5,2.1,b-corp
dharma merchant services,United States,financial transaction processing,dharmams.com,merchant services - credit card acceptance accounts,"dharma is a new kind of card payment provider serving thousands of small businesses and nonprofits with fair pricing, transparent practices, and a conscious business ethos.","we believe business can be a force for good and isn’t just about the bottom line — happy merchants make for a happy workplace, and we foster a team culture that sees business and social responsibility as a path to awakening and purposeful living.",100.1,6.6,unknown,6.6,1.1,0.8,b-corp
dialogue experience,Hong Kong,education & training services,www.dialogue-experience.com.hk,staff development by experiential training and impactainment,"dialogue experience dedicates to engage people of differences to create social impact! by providing innovative impactaintment (entertainment with impact) and transformation training experiences through dark and silence platforms, it brings new perspective",engaging people of differences to create social impact,100.4,0.5,unknown,0.5,0.0,0.2,b-corp
diasen srl,Italy,chemicals & chemical products,WWW.DIASEN.COM,"thermal and acoustic insulation, waterproofing and coatings for building sector.","diasen is an international company that has been designing, developing and producing sustainable construction materials for over 25 years to waterproof, isolate and restore any type of surface.","our mission is to run our company with respect to traditions, and focus on healthy buildings. we aim to develop products safe for people and their environment, and solutions that are at the forefront of technology and respect the future generations.",80.9,29.6,unknown,19.8,5.1,6.6,b-corp
dibago,Argentina,wood & wood products,www.dibagodibago.com,"skates, toys, clothes, art, stationary",we are an enterprise that built up enterprises with environmental impact and social commitment. we are a company that builds opportunities for social and labor development. we took advantage of the lack of access to resources to promote social development,"construir empresas, emprendimientos, programas y proyectos que construyan oportunidades socio - laborales.",100.2,3.3,unknown,3.0,0.6,0.7,b-corp
dictuc s.a,Chile,scientific r&d,www.dictuc.cl,consulting and studies certification and laboratory services technology transfer,unknown,unknown,95.7,10.1,0.0,7.6,4.0,0.6,b-corp
digital business hub,Australia,advertising & market research,www.digitalbusinesshub.com.au,website and social media development and management.,digital marketing social enterprise. a pop up digital agency in any area with 10 young people and 16 businesses.,to change the way young people become employable and business becomes digital.,82.9,10.2,unknown,9.2,2.5,0.7,b-corp
digital operative,New Zealand,web portals,www.digitaloperative.co.nz,digital marketing services,"our aim is to add value to business by providing digital strategy solutions, ecommerce, and digital marketing services with best practice platforms.","digital operative provide you with custom-fit digital marketing solutions. in providing these services we ensure we work with purpose, for our customers, for the wider community and the world we live in.",83.7,8.1,unknown,8.1,1.5,1.0,b-corp
digital storytellers,Australia,"film, tv & music production",digitalstorytellers.com.au,"film-making, digital production, and training in storytelling",digital storytellers is a purpose-driven film-making agency. we craft impactful stories with positive narratives to make a difference in the world.,"our mission is to help create a better narrative for the world, through telling stories that matter, and sharing our knowledge and resources to empower a wider community of storytellers.",88.4,8.1,unknown,8.1,1.3,2.1,b-corp
dikaios international,Italy,legal activities,www.dikaios.international,legal-tax-labor-organizational consultancy,unknown,unknown,84.3,3.5,unknown,3.5,1.1,1.0,b-corp
"dimagi, inc.",United States,engineering,dimagi.com,mobile solutions for international development,"dimagi inc. is an award-winning, socially-conscious technology company that helps organizations deliver quality health care to urban and rural communities across the world.",dimagi’s mission is to integrate innovative technology into global public and private services in order to improve human health and wellbeing.,124.7,7.8,unknown,7.0,0.7,1.0,b-corp
dimensions in occupational health and safety,United States,other human health,www.dimensions-ohs.com,"safety, health, org development consulting","we provide workplace safety, health, wellness, environmental support for businesses. we call it organizational well-being, but it is the social sustainability branch of sustainability science.","to assist our clients achieve their optimal organizational performance through integration of employee safety, health and well-being",99.7,11.5,unknown,10.6,1.1,0.0,b-corp
din4mo,Brazil,management  consultant - for-profits,www.din4mo.com,hands-on post-acceleration and access to funding to high impact entrepreneurs,"we are committed to support innovative and impacting entrepreneurs to raise their triple impact by providing knowledge, network and access to funding opportunities",assure that innovative entrepreneurs develop their full potential and raise their triple impact.,109.4,5.3,0.0,4.5,2.0,1.1,b-corp
"direct dental administrators, llc",United States,health insurance (isic 6512),www.directdentalplans.com,self-funded dental and vision plans for business,self-funded dental and vision plans for business,saving money and improving dental health of employees through better use of premium dollars,97.2,9.3,unknown,9.3,1.1,2.2,b-corp
disruptive media,Australia,other personal services,disruptivemedia.com.au,design and strategic communications,"a strategic design and communications studio in an emerging sector of social businesses. we focus on social impact, rather than profit.","to influence change and deliver social impact through the use of strategic, targeted and clear communications for community-focused organisations.",117.6,9.1,unknown,9.1,2.5,1.3,b-corp
disruptivo,Mexico,other business support,disruptivo.tv,unknown,"disruptivo es una empresa que busca empoderar a las personas para convertirse en agentes de cambio a

través del emprendimiento social, mediante de tres ejes de trabajo: inspirar, formar e impulsar.","inspirar, formar e impulsar a las personas, especialmente a los jóvenes a generar impacto positivo a través del emprendimiento social.",93.8,3.0,unknown,2.3,0.5,0.0,b-corp
ditto hangers,United States,consumer products,www.dittohangers.com,sustainable hangers for consumers and business,ditto makes the world's first and finest 100% sustainable hanger for both consumer and retail use.,ditto creates high-quality consumer and retail displays that speak subtly to a more conscientious consumer.,108.3,54.8,0.0,53.7,4.3,7.6,b-corp
diva international inc.,Canada,personal care products,divacup.com,divacup® divawash®,unknown,unknown,98.7,27.3,unknown,13.0,1.5,2.9,b-corp
diversa,Peru,employment placement & hr,www.diversa.pe,"experiential learning, innovative training, human resource consulting","in diversa, we accompany you with experiential and innovative tools in the development of personal talent through consultancies or workshops

we firmly believe in the potential of integrated, respectful and diverse work in human groups.","to promote the development of human talent with passion, creativity and commitment.",81.4,5.0,unknown,4.5,0.5,0.0,b-corp
divine chocolate ltd,United Kingdom,retail,www.divinechocolate.com,chocolate,unknown,unknown,102.2,14.1,unknown,11.7,0.8,6.0,b-corp
do it green (dig),Canada,environmental consulting,digevents.ca,environmental consulting and sustainable event planning,"dig is an environmental consulting and full-service, sustainable events management company specializing in interactive waste services and mobile drinking water stations.",engage and empower people through practical solutions to every day impacts.,85.5,23.0,unknown,9.3,2.1,2.4,b-corp
do nation,United Kingdom,environmental consulting,wearedonation.com,behaviour change platform,"do nation helps people to form healthy, environmentally friendly habits. we do this through our online platform where anyone can create a campaign to raise pledges, or make a pledge - to do simple things like cycling to work or wasting less food.","do nation's mission is to help make sustainable living mainstream, through helping people to form healthy, environmentally friendly habits",80.5,5.9,unknown,5.9,1.1,0.5,b-corp
do some good,Canada,computer programming services,dosomegood.ca,"online network to manage evp's, corporate giving & community investment programs",non profits and community groups can use our software for free to recruit volunteers and raise donations.  good companies can increase customer loyalty and overall brand by managing their employee volunteer programs and showcasing their community giving.,unknown,88.1,6.8,unknown,6.3,3.1,1.4,b-corp
dog and bone pty ltd,Australia,other info service activities,www.dogandbone.com.au,strategic ict and telecommunications,dog and bone is an independent strategic ict consultancy. we leverage our independence to enable decision makers to make informed and strategically sound decisions to successfully fulfil their organisation’s mission.,our aim is to help decision makers make informed and strategically sound decisions in regards to ict to successfully fulfil their organisation’s mission.,94.2,7.2,unknown,7.2,0.7,1.0,b-corp
dogeared,United States,jewelry & related articles,www.dogeared.com,handcrafted jewelry,"dogeared believes good things happen. the brand is more than a jewelry line and embraces the stories, happy moments, milestones and experiences… that celebrate, connect and inspire customers.","to empower, connect & celebrate with beautiful products that give people

a voice. real style and meaningful messages are a pretty cool thing (at least we think so!).",97.6,16.9,unknown,10.2,0.8,3.0,b-corp
doisy & dam limited,United Kingdom,food products,www.doisyanddam.com,chocolate bars,"we make superdelicious organic, handmade chocolate bars with amazing superfoods added.",unknown,85.4,27.1,unknown,12.0,1.5,2.8,b-corp
dojo4,United States,"other professional, scientific & tech",dojo4.com,"software, web and mobile design",dojo4 is a software agency working with purpose-driven companies to make the world a better place.,**system only allowing 3 lines of text.  please see our assessment for the full mission statement**,98.6,15.0,unknown,15.0,2.9,4.1,b-corp
dolium bodega subterranea,Argentina,beverage serving & bars,www.dolium.com,wine making & bottling,"our family-run winery started operations two decades ago with a state-of-the-art underground facility, located in the heart of the prime winemaking region in  mendoza, and we hold ourselves to the highest social and environmental standards.","“to be good stewards of the land, the grape, the community, and the consumer.”  our high sustainability vision is to “reduce, reuse, recycle and take care of our employees and customers”",108.2,47.1,unknown,27.1,8.9,9.2,b-corp
"dolphin blue, inc.",United States,business products & services: office pro,dolphinblue.com,"environmentally responsible products for home and business, all made in the usa","dolphin blue is an online retailer that sells sustainable, made in the usa, products for home and office.","dolphin blue is a business providing conscientious supplies for everyday home and business use. 



we deliver the highest quality, environmentally responsible home, office, and business products attainable.",113.6,44.1,0.0,44.1,7.5,10.5,b-corp
domi,Taiwan,other renewable energy installation,www.domiearth.com,"climate change, energy solution","domi was founded with a simple goal of driving change for the environment and society by a team of seasoned entrepreneurs with backgrounds in technology, systems architecture, economics, branding and pr.","drive change for the environment and society by making change easy, using the power of modern technology and communication. domi wants to create a movement, not an enterprise.",127.5,38.0,unknown,9.1,0.8,3.7,b-corp
domoto brands,United States,advertising & market research,www.domotobrands.com,"branding, strategy, design, digital, marketing","we provide a suite of design and consultation services for companies of all sizes, including but not limited to: corporate branding, web design, marketing expertise, and brand strategy.","domoto brands builds brands that people love. we encompass a team of innovative, strategy-minded, and creative professionals, who work relentlessly to create impactful designs and results for their clients.",82.4,10.5,0.0,10.5,1.1,1.3,b-corp
donadora,Mexico,other financial services,www.donadora.mx,crowdfunding platform that seek to support personal and social causes.,plataforma de fondeo colectivo que ofrece una alternativa de financiamiento para las personas físicas y organizaciones de la sociedad civil que necesiten un apoyo adicional para enfrentar una dificultad económica o impulsar un proyecto de alto impacto.,"mejorar la calidad de vida de las personas y multipllicar el impacto social a través de la inclusión financiera y la innovación digital mediante un modelo inclusivo, seguro y transparente de fondeo colectivo.",85.7,8.2,unknown,6.5,0.5,2.9,b-corp
"donegood, pbc",United States,mobile applications,donegood.co,chrome extension and mobile app,the donegood app and browser extension makes it easy to discover companies making great stuff and making the world better.,donegood’s mission is to change the way the world does business by making every purchasing decision an opportunity to create change.,103.2,8.6,unknown,8.6,1.1,1.0,b-corp
dopper b.v.,Netherlands,other/general wholesale trade,www.dopper.com,sustainable water bottle,dopper promotes a reusable and sustainable water bottle that supports people to reduce their single use plastic waste.,"dopper believes in a world in which people are conscious of the environment we live in, where the amount of single-use plastic is reduced and where everyone, near and far, has access to safe drinking water.",132.4,45.7,0.0,31.2,8.2,8.9,b-corp
dosebiome inc.,Canada,personal care products,www.dosebiome.com,oral hygiene,dosebiome is focused on innovative oral microbiome research that improve the microbial ecosystem in the mouth by preventing diseases such as dental caries and periodontal conditions.,we want our innovative advancements to be the reason someone smiles. the end focus is the development of pre/probiotic consumer products that selectively reduce bad bacteria while promoting healthy populations of the good.,81.0,20.1,unknown,20.1,3.1,1.9,b-corp
dot incorporation,Korea (Republic of),apparel,dotincorp.com,"dot watch, dot mini, dot pad, dot public.",we develop and manufacture smart devices as well as related software programs for the visually impaired.,unknown,87.7,7.9,unknown,7.7,0.0,2.0,b-corp
down to earth market,United States,not in use,www.downtoearthmarkets.com,farmers market management,"down to earth develops and manages farmers markets, mostly seasonal, mostly outdoors, in which regional family farms and small batch food processors can sell their products directly to the public","•	create economic opportunities for local farmers, processors, and consumers to trade with one another for mutual benefit;

•	celebrate our food culture together to enhance community life; and

•	cultivate knowledge, awareness, and practic",110.8,4.9,unknown,4.9,1.1,1.1,b-corp
dr. brite,United States,personal care products,www.drbrite.com,manufacturer,manufacture safe personal care products,to become the world's most trusted brand empowering a conscious way of life.,88.9,28.5,unknown,11.8,2.4,4.3,b-corp
dr. bronner's,United States,personal care products,drbronner.com,organic & fair trade body care and food,"founded in 1948, known as ""the fighting soap company,"" dr. bronner's is a fifth generation family-owned and operated mission-driven consumer products company.","dr. bronner's is a family business committed to honoring the vision of our founder dr. e.h. bronner by making socially and environmentally responsible products of the highest quality, and by dedicating our profits to helping make a better world.  all-one!",177.8,64.5,unknown,25.2,5.4,11.9,b-corp
"dr. hauschka skin care, inc.",United States,personal care products,www.drhauschka.com,"natrue certified natural face, body, bath and make-up products.","our products deliver the vitality of the highest-quality biodynamic, organic and wild-harvested plant ingredients directly to the skin. formulated to support the skin’s natural processes, guiding skin to a balanced, healthy, radiant state.","dr. rudolf hauschka, the founder of dr. hauschka manufacturer wala heilmittel, gave his company a mission that continues to this day: to support the healing of humanity and the earth.",80.6,33.0,unknown,18.1,0.0,3.5,b-corp
drive change foods llc,United States,restaurants & food service,drivechangenyc.org,unknown,"locally-sourced, high-end food truck.",run a paid fellowship for young adults coming home from jail and prison so they can access preferential employment.,80.7,10.9,unknown,10.5,1.5,1.9,b-corp
duffle & co,New Zealand,apparel,www.duffleandco.com,expertly designed and ethically handmade lifewear for customers and businesses,"we believe in making remarkable products that support people and the planet, without ever compromising on quality and design. we handcraft duffles, satchels, sleeves, clothing & more from premium natural materials, including bespoke items for businesses.",unknown,83.6,13.5,unknown,12.8,3.1,5.4,b-corp
dumbo feather,Australia,other publishing activities,dumbofeather.com,australian quarterly periodical,"publishing with three platforms. print, digital and events",inspiring people to lead a more meaningful life,89.9,12.1,0.0,12.1,1.7,4.1,b-corp
dunlap law plc,United States,legal activities,dunlaplawplc.com,"corporate counsel, including:  fractional general counsel, trademarks and copyri","professional limited liability company, 100% woman owned, offering corporate and sustainability counsel.",law for good.  dunlap law plc provides first-class legal counsel while building a more equitable and sustainable world through empowerment of women and girls.,81.0,6.5,unknown,5.8,2.5,3.3,b-corp
dunn & hillam architects,Australia,architecture design & planning,www.dunnhillam.com.au,architectural design and project management,"dunn & hillam architects work with residential, government and commercial clients to build projects of lasting worth and beauty. our projects are responsive to the community and landscape and we project manage each one, ensuring excellent value outcomes.","dunn & hillam architects care about good design. our projects have won numerous important awards and we are regularly asked to participate in conferences and teaching. we think architecture is an important tool in the improvement of communities, the renew",88.2,23.3,unknown,12.3,1.1,3.3,b-corp
dunsky energy consulting,Canada,environmental consulting,www.dunsky.com,energy efficiency and renewable energy consulting,"dunsky energy consulting provides top-level research, analysis and strategic counsel in support of clients’ energy efficiency and renewable energy goals.","to contribute to an efficient and sustainable energy future by helping our clients assess, design and implement effective energy efficiency and renewable energy strategies.",101.7,35.5,unknown,8.3,1.3,1.5,b-corp
dutch,Netherlands,management  consultant - for-profits,www.dutch.com,"projectmanagement, consultancy, venture building","dutch forms a bridge between advice and implementation, with lasting results. this is what dutch calls ‘resultancy’. the organization successfully works on improving sustainable business operations, with a strong focus on value creation.",building better business,87.0,9.2,0.0,9.2,1.7,1.4,b-corp
dvigi,Argentina,rubber & plastics products (isic 4773),www.dvigi.com.ar,water purification system,"la empresa se dedica a la producción, diseño y comercialización de purificadores de agua de uso doméstico. poseemos una amplia gama de canales de venta, entre ellas: sucursales propias, franquicias, retails, venta directa, venta por showroom.",brindar a cada hogar una fuente de salud como lo es el agua purificada.,91.2,2.9,unknown,2.6,1.3,0.0,b-corp
dynamic4,Australia,"other professional, scientific & tech",dynamic4.com,strategic design consulting. website and digital platform design and build,"dynamic4 is a purpose-driven design & innovation company and certified b corp. we work with people to design and build business, product and service ideas for a positive future. we also run a grant program for positive impact.","we use our business to be a force for good by collaborating with people to design and build ideas for more equal, inclusive, and sustainable communities.",85.6,13.5,0.0,13.5,2.5,4.3,b-corp
e3p,Chile,other education,juegogranjeros.cl,"juegos, servicios educacionales, consultorias","e3p es una empresa b que busca mediante diferentes proyectos y plataformas, difundir y educar a jóvenes y niños de chile y el mundo en los valores y el espíritu detrás de las empresas b.",difundir y educar a jóvenes y niños de chile y el mundo en los valores y el espíritu detrás de las empresas b,81.0,12.7,unknown,7.5,3.0,0.3,b-corp
"e-180, inc",Canada,other education,www.e-180.com,braindate and matchmaking services,"we foster braindate: are one-on-one, face-to-face knowledge-sharing conversations.",our mission is to help creating a world where we can all propel each other's greatness simply by sharing experience and knowledge with each other.,80.3,3.2,unknown,3.2,1.1,0.7,b-corp
e-waste solutions,Colombia,environmental consulting,www.weee.global,"i) recolección, reciclaje y reaprovechamiento de raees,ii) consultoría ambiental","somos una solución de mercado que busca reducir el impacto ambiental de la imparable fuerza del consumo tecnológico a través de la recolección, recuperación y reaprovechamiento de los residuos eléctricos y electrónicos.",somos una empresa comprometida con el medio ambiente que brinda un manejo integrado de residuos de aparatos eléctricos y electrónicos respaldados por un equipo humano competente que garantiza la calidad y el mejoramiento continuo de sus procesos.,111.5,55.9,unknown,28.2,15.0,7.8,b-corp
eagle direct ltd (eagle group),New Zealand,rubber & plastics products,www.eagleprotect.com,importer and distributor of single use disposable goods,eagle consumables and medical house import and distribute disposable consumables to the industrial and medical sectors throughout new zealand,create opportunity.  change the way you think.,84.2,22.4,unknown,22.4,1.5,6.4,b-corp
earth equity advisors,United States,investment advising,www.earthequityadvisors.com,socially & environmentally responsible investment management,"a leading fossil-fuel-free, socially and environmentally responsible investment management firm. since 2004, we have been helping  individuals, trusts, non-profits and business retirement plans to align their investments with their values",our mission is to help empower our clients to magnify their impact through responsible investing.,107.4,5.0,unknown,4.5,1.1,0.5,b-corp
earth2o,United States,beverages,www.earth2o.com,bottled water and home office delivered 5 gallon water,"providing pristine natural water with a commitment to create, maintain and improve conditions under which humans and the environment can exist together productively. allowing each to flourish socially, environmentally, and economically.","earth2o's mission is to provide the most pristine natural water products available to consumers in the us via socially conscious practices beginning with our investment in technology to reduce packaging waste, our commitment to sqf, and extending to our c",103.3,24.7,unknown,24.7,6.2,8.9,b-corp
earthbound farm,United States,consumer products,www.earthboundfarm.com,"produce production, wholesale, distrib",unknown,unknown,89.8,33.6,unknown,16.7,3.4,8.1,b-corp
"earthy, llc.",United States,cleaning products,www.earthy.me,eco-friendly household and personal care products,"we produce a line of cleaning products (laundry, sprayer cleaners, and dish soaps) as well as personal care (hand soap and moisturizers) that are sourced with sustainable, natural, and/or organic ingredients.","our reason for being: to create the best products sourced from the earth in a sustainable manner. to engage our employees, partners, consumers, and the communities we live in asocially environmentally responsible manner.",84.9,25.2,unknown,11.3,1.5,5.2,b-corp
east amber,United States,other retail sale,eastamber.com,plant-based skincare products for your whole body.,east amber is a virginia-based company in occoquan offering small-batch skincare mindfully made with plant-based formulas.,unknown,97.9,10.2,unknown,7.4,1.5,4.4,b-corp
eastern carolina organics,United States,agicultural support/post-harvest,www.easterncarolinaorganics.com,organic produce,eco is a farmer- and staff-owned wholesale produce distributor. the company started in 2004 with the goal of helping transition tobacco farmers into organic vegetable production to meet an increasing need for local and organic produce in the marketplace.,eastern carolina organics cultivates a sustainable food system by providing a viable production and distribution network to our customers and farmers.,117.5,27.1,unknown,8.3,2.5,0.4,b-corp
easthall farm at st pauls walden,United Kingdom,mixed farming,www.outdoorlearningexperiences.org,conservation of historic and wildlife rich landscape and environmental education,"conserving heritage and landscape, enhancing biodiversity, producing food, supporting local economies, raising environmental awareness and education and increasing wellbeing for those who live locally or list.","preserve and improve the landscape, buildings, farm and countryside together",93.3,33.3,unknown,27.2,4.7,5.2,b-corp
eat me chutneys,Australia,food products,www.eatmechutneys.com.au,socially good chutneys,"we are a mum (self-professed chutney queen) and son (annoying michelin-trained chef) team based in sydney and make our socially good jars of chutneys by hand, in small batches that are 1/ rescued chutneys and 2/ fairtrade chutneys.",our mission is to tackle food system injustices by creating socially good jars of chutneys.,111.7,23.8,unknown,13.6,1.5,0.9,b-corp
eclass sa,Chile,other education,www.eclass.cl,"programas de: negocios, inglés, eclass,  a la medida, corporativos, fidelización","eclass es una empresa de educación flexible que tiene por objetivo entregar servicios de asesorías educacionales y de capacitación, a través de internet. se caracteriza por desarrollar cursos a través de metodologías e-learning y  blended learning.",“nuestra pasión es crear mejores oportunidades entregando educación de excelencia”,97.9,8.5,unknown,6.4,0.0,2.3,b-corp
"eco lips, inc.",United States,personal care products (isic 20),www.ecolips.com,"a complete line of certified organic, fair trade, non-gmo lip care.","eco lips, inc. is a premium manufacturer and marketer of certified organic & fair trade  lip balm.  eco lips branded products are sold in a wide range of retailers across the us.  eco lips offers private label and contract manufacturing services.","to make money while supporting sustainable agriculture.

to manufacture and market high quality, environmentally responsible lip care.

to support like-minded individuals, organizations, events and foundations.",85.9,30.3,13.3,16.3,2.6,7.9,b-corp
"eco promotional products, inc.",United States,other/general wholesale trade,www.ecopromotionsonline.com,full-line of environmentally and socially responsible promotional products,"eco promotional products, inc. is the safe place for promotional products.  we are dedicated to sustainability, supplying environmentally responsible merchandise, respecting human rights and our natural resources.","provide a safe place for businesses and individuals to buy. promote and prevent exhausting natural resources, pollution, landfill space and protect human rights. provide professional service in a timely manner at affordable prices.",92.1,32.0,unknown,16.0,2.2,5.5,b-corp
eco2librium,Kenya,other personal services,www.eco2librium.net,"emission reductions, carbon sequestration, job creation and consulting",the company's primary business activities are developing and operating emission reduction and carbon sequestration projects in and around the kakamega region of western kenya. the company also operates a micro-lending arm in the same area.,"conservation through local entrepreneurship, poverty reduction and empowerment.",180.1,44.0,unknown,24.2,5.0,10.1,b-corp
eco-bags products,United States,other/general wholesale trade,ecobags.com,"reusable bags, all types","eco-bags products, ecobags brand, the original reusable bag company, founded in 1989, producing recycled and recyclable fiber, durable bags for retail, promotions, events and packaging.","to inspire and engage and lead the movement of  ""cleaning up the planet one bag at a time.(tm)""",110.7,45.1,unknown,15.4,3.1,8.0,b-corp
"eco-products, inc.",United States,other/general wholesale trade,www.ecoproducts.com,compostable and pcr foodservice packaging,eco-products is a leading brand of single-use foodservice packaging made from renewable resources and post-consumer recycled content.,"to change the way society thinks about disposables, one cup at a time.",81.4,30.5,unknown,15.3,3.5,6.0,b-corp
ecoadvisors,Canada,environmental consulting,ecoadvisors.org,environmental advisory services,unknown,unknown,106.7,15.7,0.0,15.7,5.0,2.7,b-corp
ecodeo,United States,"film, tv & music production",www.ecodeo.co,"video content, ecoads, eco-mentaries, eco-mentary series,  original videocontent","ecodeo is a digital media firm that produces video content, advertising & media that inspires audiences to make sustainable lifestyle choices.



ecodeo creates media about eco impact, innovation & sustainability.","ecodeo bridges cinematic storytelling, advertising and documentary to capture authentic stories, and raise consciousness about a positive impact on our environment.",85.8,22.3,unknown,11.1,3.3,1.8,b-corp
ecoflora agro s.a.s,Colombia,chemicals & chemical products,www.ecofloragro.com,biopesticides for agriculture,ecoflora agro is a leader and pioneer in the development of plant (botanical) extracts for effective and sustainable crop protection.,"ecoflora agro leads the crop protection industry in its quest to increase sustainability in agricultural production, offering high value products supported in science, technology, and innovation.",83.5,25.0,unknown,23.9,9.7,7.4,b-corp
ecoinnovate,United States,environmental consulting,ecoinnovate.co,environmental consulting,the goal of ecoinnovate is to work with a company's staff and design a clear path of actions within their organization that will reduce their environmental footprint.,to facilitate behavioral changes by identifying obtainable initiatives within our partners’ framework that engage employees as drivers of eco-friendly programs.  our goal is to develop and implement ideas that facilitate change in how we live and work.,108.8,10.9,unknown,10.9,0.0,5.0,b-corp
ecojun company,Korea (Republic of),rubber & plastics products,ecojun.com,design and manufacturing environmentally friendly and sustainable products.,ecojun company is a design company that develops and manufactures green design products based ecological ethics.,ecojun is a socially-minded company that designs eco-friendly products based on the company’s strong commitment to its ecological ethics.,100.1,32.2,unknown,24.7,4.6,6.5,b-corp
