brand,country,industry,website,products,description,mission,overall_score,environment_score,environment_products,environment_practices,environment_outputs,environment_inputs,certification
green mountain power,United States,electric power transmission,www.greenmountainpower.com,electric utility,investor owned electric generation and distribution utility,"we have a vision to use energy as a force for good that improves lives and transforms communities. we're focused on a new way of doing business to meet the needs of customers with integrated energy services that help people use less energy and save money,",86.2,25.2,unknown,13.2,2.9,6.3,b-corp
green moves australia,Australia,environmental consulting,www.greenmoves.com.au,sustainability and energy efficiency consulting service and industry education,we are a small privately owned business providing product independent sustainability and energy efficiency advisory services and education for residential and commercial markets.,"green moves mission is to provide consumers and businesses with a selection of sustainability services that are designed to improve comfort and knowledge, while minimising resource utility costs, reducing environmental footprints and educating all those w",96.1,50.4,unknown,14.1,2.5,5.6,b-corp
"green retirement, inc.",United States,investment advising (isic 6619),www.greenretirement.com,"retirement plan consulting, financial planning","green retirement specializes in setting up small business 401(k), nonprofit organization 403(b), and individual ira plans that include sustainable, socially responsible and fossil fuel free investments to help achieve your retirement goals.","we fight climate change by helping businesses and nonprofits provide retirement plan investment choices are that socially and environmentally screened, sustainable, and fossil fuel free.",135.9,12.9,0.0,12.9,2.5,3.7,b-corp
green4good - compugen finance,Canada,other info service activities,www.green4good.ca,leasing and end-of-first-life technology disposition services,the first and only company to create carbon credits from the sale of refurbished technology while supporting charities through our award winning green4good program ( www.green4good.ca),promote the reuse of it technology and develop carbon credits while raising monies for worthy charities,91.7,36.0,unknown,8.8,0.7,1.2,b-corp
greenapes,Italy,social networks & info sharing,www.greenapes.com/en,"citizen, customer and employee engagement for sustainability","greenapes is a digital platform engaging citizens, customers and employees in sustainable behaviours",the mission of greenapes is to engage wide segments of population in sustainable lifestyles,80.2,21.9,unknown,5.2,1.1,0.0,b-corp
greenbanc,United States,environmental consulting,www.greenbanc.com,marketplace for residential energy efficiency and renewable energy improvements,greenbanc helps homeowners invest in energy efficiency and renewables with a marketplace platform where homeowners can get quotes for projects and independent contractors can find green jobs.,greenbanc's mission is to accelerate sustainable prosperity with homes free from energy bills and emissions,94.6,49.6,unknown,8.9,2.5,4.1,b-corp
greencollar,Australia,other financial services,www.greencollarclimate.com.au,"impact investment, research, renewable energy, payment for ecosystem services","greencollar is a dedicated natural resource management and environmental markets consultancy providing research and project management services to the agricultural, forestry and environment sectors.",greencollar's mission is to make environmental markets work.,91.3,34.0,unknown,5.1,0.7,1.0,b-corp
greener inspections,Canada,architecture design & planning,greenerinspections.com,home inspection services,unknown,greener inspections seeks to put nova scotian families into safe and efficient homes in order to strengthen our communities while protecting our environment.,91.9,23.5,10.0,13.5,4.2,3.4,b-corp
greenerprinter,United States,printing & recorded media (isic 18),www.greenerprinter.com,commerical printing,"greenerprinter is a certified green business that prints business cards, marketing collateral, product catalogs, retail packaging, banners, and more using recycled materials and soy & vegetable-based inks.",greenerprinter's mission is to demonstrate that a manufacturing business can operate in harmony with the planet while maintaining profitability.,97.7,30.2,unknown,15.6,3.8,4.5,b-corp
greenheart business consulting ltd,United Kingdom,management  consultant - for-profits,www.greenheartbusiness.com,"business consulting, commercial/legal consulting, circular economy, bleadership","we use our combined experience in law, industry and the circular economy to offer an experienced, flexible and highly cost-effective strategic resource",to help our clients drive sustainable value growth across the triple bottom line.,80.9,14.1,unknown,14.1,2.5,3.6,b-corp
greenhouse eco-cleaning,United States,other personal services,Unknown,green cleaning,unknown,unknown,105.1,17.8,unknown,3.9,0.7,0.7,b-corp
greenhouse pr,United Kingdom,advertising & market research,www.greenhousepr.co.uk,pr services,pr agency providing a range of communications services for pioneers driving social and environmental change.,to drive social and environmental change through effective use of communications.,88.8,11.3,unknown,11.3,1.1,4.0,b-corp
greenline community ventures llc,United States,not in use,www.greenlineventures.com,"capital market solutions, community development",greenline community ventures llc is a minority-controlled and employee-owned investment management firm that specializes in delivering capital to business and communities that are underserved by traditional capital providers.,our mission is to 1) improve the flow of capital into underserved communities and 2) motivate market rate capital to invest in community priorities.,110.7,4.0,unknown,4.0,0.7,0.5,b-corp
greenmedialab brand di sportmaker srl,Italy,other info service activities,greenmedialab.com,unknown,unknown,unknown,80.1,10.9,unknown,10.9,1.1,2.0,b-corp
greenplanet bio-fuels,Canada,not in use,greenplanetbf.com,bio fuels,green planet bio-fuels recycles used cooking oil into bio-fuel not animal feed.,helping to create a strong sustainable green economy is southern ontario.,86.7,32.4,unknown,9.5,1.1,3.0,b-corp
greensavers,United States,"other professional, scientific & tech",greensavers.com,"we install insulation, heating and cooling systems, windows, seismic, and solar.","in 2016 and 2017, greensavers was selected from 1,600 contractors across the country as energy star® contractor of the year. most of our clients start with a home energy audit or estimate for insulation, hvac, windows, seismic retrofit, or solar system.",unknown,80.3,21.5,unknown,7.7,0.7,3.0,b-corp
greenspark energy,United States,solar panel installation,www.greensparksolar.com,renewable energy design and installations,"greenspark solar successfully installed more than 40mw of distributed renewable energy projects  throughout the northeastern us. loyal to people. loyal to planet.  we create fiercely local, cost-effective, clean energy options.","greenspark is a fully independent b corp with a mission to provide diverse renewable energy solutions that produce meaningful cost savings, local economic benefits, and a better balance with our planet for homeowners, business owners, community partners,",90.3,37.7,26.3,11.4,1.4,3.4,b-corp
